shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
נקטר מנגו פריגת,"Nectar, mango, Prigat",44,"Food item: Nectar, mango, Prigat",מזון: נקטר מנגו פריגת
"נקטר אפרסק, גת,גניר,יפאורה.פרימור","Nectar, peach, Prigat/Jafora/Ganir/Primor",49,"Food item: Nectar, peach, Prigat/Jafora/Ganir/Primor","מזון: נקטר אפרסק, גת,גניר,יפאורה.פרימור"
"נקטר אקזוטי פירות טרופיים, גניר, גת,פרימור","Nectar, exotic tropical fruit, Prigat/Ganir/Primor",48,"Food item: Nectar, exotic tropical fruit, Prigat/Ganir/Primor","מזון: נקטר אקזוטי פירות טרופיים, גניר, גת,פרימור"
נקטר אגסים,"Nectar, pear",60,"Food item: Nectar, pear",מזון: נקטר אגסים
"נקטר אגסים, יפאורה","Nectar, pear, Jafora",41,"Food item: Nectar, pear, Jafora","מזון: נקטר אגסים, יפאורה"
"נקטר תפוחי עץ, גת, פרימור, פרדס, גניר","Nectar, apple, Prigat/Pardes/Ganir/Primor",48,"Food item: Nectar, apple, Prigat/Pardes/Ganir/Primor","מזון: נקטר תפוחי עץ, גת, פרימור, פרדס, גניר"
חומץ,Vinegar,21,Food item: Vinegar,מזון: חומץ
"סלט פירות, אגס, בננה, תפוז ותפוח, בתוספת סוכר","Salad, fruit, pear, banana, orange and apple, with added sugar",80,"Food item: Salad, fruit, pear, banana, orange and apple, with added sugar","מזון: סלט פירות, אגס, בננה, תפוז ותפוח, בתוספת סוכר"
"סלט פירות, אננס ומשמש משומרים, בננה ותפוז","Salad, fruit, tinned (light syrup) pineapple and apricots, banana, orange",58,"Food item: Salad, fruit, tinned (light syrup) pineapple and apricots, banana, orange","מזון: סלט פירות, אננס ומשמש משומרים, בננה ותפוז"
"סלט פירות, אגס, קיווי, תות שדה ותפוז, ללא תוספת סוכר","Salad, fruit, pear, kiwi, strawberries and orange, no added sugar",50,"Food item: Salad, fruit, pear, kiwi, strawberries and orange, no added sugar","מזון: סלט פירות, אגס, קיווי, תות שדה ותפוז, ללא תוספת סוכר"
"לפתן פירות, אפרסק, שזיפים ותפוחים, ללא תוספת סוכר","Fruit compote, peach, plums and apples, no added sugar",29,"Food item: Fruit compote, peach, plums and apples, no added sugar","מזון: לפתן פירות, אפרסק, שזיפים ותפוחים, ללא תוספת סוכר"
"לפתן פירות,משמש,צימוקים,שזיפים ותפוחים בתוספת סוכר","Fruit compote, apricot, raisins, plums and apples, with added sugar",92,"Food item: Fruit compote, apricot, raisins, plums and apples, with added sugar","מזון: לפתן פירות,משמש,צימוקים,שזיפים ותפוחים בתוספת סוכר"
"לפתן פירות,אגס,ענבים,תפוחים ושזיפים, ללא תוספת סוכר","Fruit compote, pears, grapes, apples, and plums, no added sugar",34,"Food item: Fruit compote, pears, grapes, apples, and plums, no added sugar","מזון: לפתן פירות,אגס,ענבים,תפוחים ושזיפים, ללא תוספת סוכר"
"מחית לתינוקות בטעמי פירות שונים, פרינוק ","Puree, for babies, fruit flavor, Prinuk",75,"Food item: Puree, for babies, fruit flavor, Prinuk","מזון: מחית לתינוקות בטעמי פירות שונים, פרינוק"
"מחית לתינוקות בננה תפוח, מטרנה","Puree, for babies, banana-apple, Materna",65,"Food item: Puree, for babies, banana-apple, Materna","מזון: מחית לתינוקות בננה תפוח, מטרנה"
"מחית לתינוקות בננה תפוח ודגנים, מטרנה ","Puree, for babies, banana-apple-cereal grains, Materna",69,"Food item: Puree, for babies, banana-apple-cereal grains, Materna","מזון: מחית לתינוקות בננה תפוח ודגנים, מטרנה"
"מחית לתינוקות סלט פירות/ פירות מעורבים, מטרנה ","Puree, for babies, fruit salad/mixed fruits, Materna",61,"Food item: Puree, for babies, fruit salad/mixed fruits, Materna","מזון: מחית לתינוקות סלט פירות/ פירות מעורבים, מטרנה"
"מחית לתינוקות תפוח ודגנים, מטרנה","Puree, for babies,apple with cereal grains, Materna",48,"Food item: Puree, for babies,apple with cereal grains, Materna","מזון: מחית לתינוקות תפוח ודגנים, מטרנה"
"מחית לתינוקות תפוח עץ, מטרנה","Puree, for babies, apple, Materna",46,"Food item: Puree, for babies, apple, Materna","מזון: מחית לתינוקות תפוח עץ, מטרנה"
"תפוחי אדמה, טריים, עם קליפה (קליפה לא נאכלה)","Potatoes, flesh and skin, raw,(skin not consumed) ",52,"Food item: Potatoes, flesh and skin, raw,(skin not consumed)","מזון: תפוחי אדמה, טריים, עם קליפה (קליפה לא נאכלה)"
"תפוחי אדמה, טריים, עם קליפה","Potatoes, flesh and skin, raw",77,"Food item: Potatoes, flesh and skin, raw","מזון: תפוחי אדמה, טריים, עם קליפה"
"תפוחי אדמה, פתיתים מיובשים","Potatoes, mashed, dehydrated, flakes without milk, dry form",354,"Food item: Potatoes, mashed, dehydrated, flakes without milk, dry form","מזון: תפוחי אדמה, פתיתים מיובשים"
"קמח/עמילן תפוחי אדמה, כולל גלעם",Potato flour,357,Food item: Potato flour,"מזון: קמח/עמילן תפוחי אדמה, כולל גלעם"
"תפוחי אדמה, אפויים, קליפה לא נאכלה, עם מלח","Potatoes, baked, peel not eaten, salted",92,"Food item: Potatoes, baked, peel not eaten, salted","מזון: תפוחי אדמה, אפויים, קליפה לא נאכלה, עם מלח"
"תפוחי אדמה, אפויים ,ללא קליפה, עם רוטב סויה ושמן סויה","Potatoes, peeled, baked in soy sauce and soy oil",140,"Food item: Potatoes, peeled, baked in soy sauce and soy oil","מזון: תפוחי אדמה, אפויים ,ללא קליפה, עם רוטב סויה ושמן סויה"
"תפוחי אדמה, אפויים, בשמן סויה עם קליפה","Potatoes, unpeeled, baked with soy oil",161,"Food item: Potatoes, unpeeled, baked with soy oil","מזון: תפוחי אדמה, אפויים, בשמן סויה עם קליפה"
"תפוחי אדמה, אפויים, עם מלח, קליפה נאכלה, ללא תוספת שומן","Potatoes, baked, peel eaten, fat not added ",92,"Food item: Potatoes, baked, peel eaten, fat not added","מזון: תפוחי אדמה, אפויים, עם מלח, קליפה נאכלה, ללא תוספת שומן"
"תפוחי אדמה, מבושלים, ללא קליפה, עם מלח, ללא תוספת שומן","Potatoes, boiled, without peel, fat not added",85,"Food item: Potatoes, boiled, without peel, fat not added","מזון: תפוחי אדמה, מבושלים, ללא קליפה, עם מלח, ללא תוספת שומן"
"תפוחי אדמה, מבושלים, ללא קליפה, עם בצל מטוגן בקנולה, ללא שמן","Potatoes, peeled, cooked with canola -fried onions, fat not added",107,"Food item: Potatoes, peeled, cooked with canola -fried onions, fat not added","מזון: תפוחי אדמה, מבושלים, ללא קליפה, עם בצל מטוגן בקנולה, ללא שמן"
"תפוחי אדמה, מבושלים, ללא קליפה, עם פטריות ובצל עם שמן סויה","Potatoes, peeled, cooked with mushrooms and onions, with soy oil",114,"Food item: Potatoes, peeled, cooked with mushrooms and onions, with soy oil","מזון: תפוחי אדמה, מבושלים, ללא קליפה, עם פטריות ובצל עם שמן סויה"
"תפוחי אדמה, מבושלים, עם קליפה, עם מלח, ללא תוספת שומן","Potatoes, boiled with peel, peel not eaten, fat not added",86,"Food item: Potatoes, boiled with peel, peel not eaten, fat not added","מזון: תפוחי אדמה, מבושלים, עם קליפה, עם מלח, ללא תוספת שומן"
תפוחי אדמה אפויים במרגרינה,"Potatoes, baked in margarine",119,"Food item: Potatoes, baked in margarine",מזון: תפוחי אדמה אפויים במרגרינה
"תפוחי אדמה, צלויים, ללא תוספת שומן, עם מלח","Potatoe, roasted, fat not added",95,"Food item: Potatoe, roasted, fat not added","מזון: תפוחי אדמה, צלויים, ללא תוספת שומן, עם מלח"
"תפוחי אדמה, אפויים, ללא קליפה, עם שמן זית","Potatoes, peeled, roasted, with olive oil",144,"Food item: Potatoes, peeled, roasted, with olive oil","מזון: תפוחי אדמה, אפויים, ללא קליפה, עם שמן זית"
"תפוחי אדמה, אפויים, ללא קליפה, עם שמן קנולה","Potatoes, peeled, baked, with canola oil",144,"Food item: Potatoes, peeled, baked, with canola oil","מזון: תפוחי אדמה, אפויים, ללא קליפה, עם שמן קנולה"
"תפוחי אדמה, מאודים, ללא קליפה, ללא שמן","Potatoes, peeled, steamed, fat not added",61,"Food item: Potatoes, peeled, steamed, fat not added","מזון: תפוחי אדמה, מאודים, ללא קליפה, ללא שמן"
"תפוחי אדמה, חטיף, צ'יפס, כולל ראפלס","Potato chips/crisps, including Ruffles",547,"Food item: Potato chips/crisps, including Ruffles","מזון: תפוחי אדמה, חטיף, צ'יפס, כולל ראפלס"
"תפוחי אדמה, חטיף, תפוצ'יפס/טבעי/ קראנצ', שטראוס","Potato chips/crisps, natural/crunchy, Strauss",542,"Food item: Potato chips/crisps, natural/crunchy, Strauss","מזון: תפוחי אדמה, חטיף, תפוצ'יפס/טבעי/ קראנצ', שטראוס"
"תפוחי אדמה, חטיף, צ'יפס, מעוצב, כולל פרינגלס","Potato chips/crisps, including Pringles",559,"Food item: Potato chips/crisps, including Pringles","מזון: תפוחי אדמה, חטיף, צ'יפס, מעוצב, כולל פרינגלס"
"חטיף תפוחי אדמה, דובונים, טעמים שונים, אסם","Potato snacks, various flavors, Dubonim, Osem",530,"Food item: Potato snacks, various flavors, Dubonim, Osem","מזון: חטיף תפוחי אדמה, דובונים, טעמים שונים, אסם"
"תפוחי אדמה, מטוגנים, צ'יפס בשמן סויה","Potatoes, french fries, fried in soy oil",222,"Food item: Potatoes, french fries, fried in soy oil","מזון: תפוחי אדמה, מטוגנים, צ'יפס בשמן סויה"
"תפוחי אדמה, מטוגנים, קפואים, אפויים בתנור","Potatoes, french fries, from frozen, oven baked",164,"Food item: Potatoes, french fries, from frozen, oven baked","מזון: תפוחי אדמה, מטוגנים, קפואים, אפויים בתנור"
"תפוחי אדמה, מטוגנים, צ'יפס בשמן תירס","Potatoes, french fries, fried in corn oil",223,"Food item: Potatoes, french fries, fried in corn oil","מזון: תפוחי אדמה, מטוגנים, צ'יפס בשמן תירס"
"תפוחי אדמה, מטוגנים, צ'יפס קפוא לתנור, תפוגן","Potatoes, french fries, frozen, ready to cook in oven, Tapugan",177,"Food item: Potatoes, french fries, frozen, ready to cook in oven, Tapugan","מזון: תפוחי אדמה, מטוגנים, צ'יפס קפוא לתנור, תפוגן"
"תפוחי אדמה, מטוגנים, צ'יפס בשמן קנולה","Potatoes, french fries, fried in canola oil",222,"Food item: Potatoes, french fries, fried in canola oil","מזון: תפוחי אדמה, מטוגנים, צ'יפס בשמן קנולה"
"תפוחי אדמה, מטוגנים, צ'יפס קפוא למיקרוגל, תפוגן","Potatoes, french fries, frozen, cooked in microwave, Tapugan",187,"Food item: Potatoes, french fries, frozen, cooked in microwave, Tapugan","מזון: תפוחי אדמה, מטוגנים, צ'יפס קפוא למיקרוגל, תפוגן"
"תפוחי אדמה, מטוגנים, צ'יפס בשמן זית","Potatoes, french fries, fried in olive oil",222,"Food item: Potatoes, french fries, fried in olive oil","מזון: תפוחי אדמה, מטוגנים, צ'יפס בשמן זית"
"תפוחי אדמה, מטוגנים, צ'יפס בשמן חמניות","Potatoes, french fries, fried in sunflower oil",222,"Food item: Potatoes, french fries, fried in sunflower oil","מזון: תפוחי אדמה, מטוגנים, צ'יפס בשמן חמניות"
"תפוחי אדמה, מבושלים, עם קליפה, מטוגנים","Potatoes, home fries",185,"Food item: Potatoes, home fries","מזון: תפוחי אדמה, מבושלים, עם קליפה, מטוגנים"
"תפוחי אדמה, מבושלים, ללא קליפה, עם רסק עגבניות ושמן סויה","Potatoes, peeled, cooked in tomato paste and soy oil",95,"Food item: Potatoes, peeled, cooked in tomato paste and soy oil","מזון: תפוחי אדמה, מבושלים, ללא קליפה, עם רסק עגבניות ושמן סויה"
"תפוחי אדמה, פירה עם בצל ושמן סויה, ללא חלב","Potatoes, mashed, with onion and soy oil, no milk",126,"Food item: Potatoes, mashed, with onion and soy oil, no milk","מזון: תפוחי אדמה, פירה עם בצל ושמן סויה, ללא חלב"
"תפוחי אדמה, פירה עם חלב וחמאה","Potatoes, mashed with milk and butter",126,"Food item: Potatoes, mashed with milk and butter","מזון: תפוחי אדמה, פירה עם חלב וחמאה"
"תפוחי אדמה, פירה עם מרגרינה","Potatoes, mashed, with margarine",119,"Food item: Potatoes, mashed, with margarine","מזון: תפוחי אדמה, פירה עם מרגרינה"
"תפוחי אדמה, פירה עם שמן זית","Potatoes, mashed, with olive oil",139,"Food item: Potatoes, mashed, with olive oil","מזון: תפוחי אדמה, פירה עם שמן זית"
"תפוחי אדמה, פירה עם חמאה","Potatoes, mashed, with butter",131,"Food item: Potatoes, mashed, with butter","מזון: תפוחי אדמה, פירה עם חמאה"
סלט תפוחי אדמה עם מלפפון כבוש ומיונז,"Salad, potato with pickled cucumber and mayonnaise",127,"Food item: Salad, potato with pickled cucumber and mayonnaise",מזון: סלט תפוחי אדמה עם מלפפון כבוש ומיונז
"סלט תפוחי אדמה עם ביצה, מלפפון כבוש ומיונז","Salad, potato, with egg, pickled cucumber and mayonnaise",110,"Food item: Salad, potato, with egg, pickled cucumber and mayonnaise","מזון: סלט תפוחי אדמה עם ביצה, מלפפון כבוש ומיונז"
"סלט תפוחי אדמה עם אפונה, גזר, מלפפון כבוש ומיונז","Salad, potato, with peas, carrots, pickled cucumber and mayonnaise",106,"Food item: Salad, potato, with peas, carrots, pickled cucumber and mayonnaise","מזון: סלט תפוחי אדמה עם אפונה, גזר, מלפפון כבוש ומיונז"
"סלט תפוחי אדמה עם חזה עוף, אפונה, ביצה, גזר ומיונז","Salad, potato with chicken breast, peas, eggs, carrots, and mayonnaise",121,"Food item: Salad, potato with chicken breast, peas, eggs, carrots, and mayonnaise","מזון: סלט תפוחי אדמה עם חזה עוף, אפונה, ביצה, גזר ומיונז"
"סלט תפוחי אדמה עם פסטרמה, אפונה, ביצה, גזר ומיונז","Salad, potato with pastrami, peas, eggs, carrots, and mayonnaise",106,"Food item: Salad, potato with pastrami, peas, eggs, carrots, and mayonnaise","מזון: סלט תפוחי אדמה עם פסטרמה, אפונה, ביצה, גזר ומיונז"
"סלט תפוחי אדמה עם ביצה, אפונה, גזר ומיונז","Salad, potato with eggs, peas, carrots, and mayonnaise",113,"Food item: Salad, potato with eggs, peas, carrots, and mayonnaise","מזון: סלט תפוחי אדמה עם ביצה, אפונה, גזר ומיונז"
"סלט תפוחי אדמה עם ביצה, אפונה, בצל, מלפפון כבוש","Salad, potato with eggs, peas, onions, pickled cucumbers",112,"Food item: Salad, potato with eggs, peas, onions, pickled cucumbers","מזון: סלט תפוחי אדמה עם ביצה, אפונה, בצל, מלפפון כבוש"
"סלט תפוחי אדמה עם ביצה, אפונה, מלפפון כבוש ומיונז","Salad, potato with eggs, peas, pickled cucumber, and mayonnaise",100,"Food item: Salad, potato with eggs, peas, pickled cucumber, and mayonnaise","מזון: סלט תפוחי אדמה עם ביצה, אפונה, מלפפון כבוש ומיונז"
"סלט תפוחי אדמה, אחלה","Salad, potato, Achla",153,"Food item: Salad, potato, Achla","מזון: סלט תפוחי אדמה, אחלה"
"סלט תפוחי אדמה במיונז, שטראוס","Salad, potato, in mayonnaise, Strauss",150,"Food item: Salad, potato, in mayonnaise, Strauss","מזון: סלט תפוחי אדמה במיונז, שטראוס"
לביבות תפוחי אדמה ללא שמן,"Potato pancakes, fat not added",124,"Food item: Potato pancakes, fat not added",מזון: לביבות תפוחי אדמה ללא שמן
לביבות תפוחי אדמה מטוגנות בשמן סויה,"Potato pancakes, fried in soy oil",216,"Food item: Potato pancakes, fried in soy oil",מזון: לביבות תפוחי אדמה מטוגנות בשמן סויה
לביבות תפוחי אדמה ובצל ירוק מטוגנות ללא שמן,"Potato pancakes, with green onion, fried without oil",115,"Food item: Potato pancakes, with green onion, fried without oil",מזון: לביבות תפוחי אדמה ובצל ירוק מטוגנות ללא שמן
"לביבות תפוחי אדמה במילוי בשר, חמים וטעים","Potato pancakes,with beef filling",167,"Food item: Potato pancakes,with beef filling","מזון: לביבות תפוחי אדמה במילוי בשר, חמים וטעים"
"לביבות תפוחי אדמה, לטקעס, אבקה, קנור","Potato pancakes, powder, Knorr",322,"Food item: Potato pancakes, powder, Knorr","מזון: לביבות תפוחי אדמה, לטקעס, אבקה, קנור"
פשטידת תפוחי אדמה עם גבינה צהובה ושמן קנולה,"Pie, potato, with yellow cheese and canola oil",152,"Food item: Pie, potato, with yellow cheese and canola oil",מזון: פשטידת תפוחי אדמה עם גבינה צהובה ושמן קנולה
פשטידת תפוחי אדמה עם שמן סויה,"Pie, potato, with soy oil",149,"Food item: Pie, potato, with soy oil",מזון: פשטידת תפוחי אדמה עם שמן סויה
פשטידת תפוחי אדמה ובשר עוף - מעקודה,"Pie, potato and chicken, Maakuda",162,"Food item: Pie, potato and chicken, Maakuda",מזון: פשטידת תפוחי אדמה ובשר עוף - מעקודה
פשטידת תפוחי אדמה ואפונה עם שמן סויה,"Pie, potato and peas with soy oil",135,"Food item: Pie, potato and peas with soy oil",מזון: פשטידת תפוחי אדמה ואפונה עם שמן סויה
פשטידת תפוחי אדמה עם שמן קנולה,"Pie, potato, with canola oil",150,"Food item: Pie, potato, with canola oil",מזון: פשטידת תפוחי אדמה עם שמן קנולה
"מרק תפוחי אדמה על בסיס חלב ושמנת מתוקה, מוקרם","Soup, potato, with milk  and sweet cream, creamed",146,"Food item: Soup, potato, with milk  and sweet cream, creamed","מזון: מרק תפוחי אדמה על בסיס חלב ושמנת מתוקה, מוקרם"
מרק בטטה עם תפוחי אדמה,"Soup, sweet potato with potato",37,"Food item: Soup, sweet potato with potato",מזון: מרק בטטה עם תפוחי אדמה
מרק תפוחי אדמה עם בצל גזר ושמיר,"Soup, potato, with onion, carrots, and dill",29,"Food item: Soup, potato, with onion, carrots, and dill",מזון: מרק תפוחי אדמה עם בצל גזר ושמיר
מרק בטטה עם תפוח אדמה וחלב קוקוס ,"Soup, sweet potato, with potato and coconut milk",96,"Food item: Soup, sweet potato, with potato and coconut milk",מזון: מרק בטטה עם תפוח אדמה וחלב קוקוס
מרק בטטה עם גזר ודלעת,"Soup, sweet potato, with carrots and pumpkin",25,"Food item: Soup, sweet potato, with carrots and pumpkin",מזון: מרק בטטה עם גזר ודלעת
מרק תפוחי אדמה עם אורז וגזר,"Soup, potato with rice and carrots",44,"Food item: Soup, potato with rice and carrots",מזון: מרק תפוחי אדמה עם אורז וגזר
"מרק רוסי עם תפוא, אורז, מלפפון חמוץ ובצל מטוגן","Soup, Russian with potatoes, rice, pickled cucumber, and fried onions",50,"Food item: Soup, Russian with potatoes, rice, pickled cucumber, and fried onions","מזון: מרק רוסי עם תפוא, אורז, מלפפון חמוץ ובצל מטוגן"
"מרק רוסי עם תפוא, גריסים, גזר, מלפפון חמוץ ובצל","Soup, Russian with potatoes, barley, carrot, pickled cucumber, and onion",53,"Food item: Soup, Russian with potatoes, barley, carrot, pickled cucumber, and onion","מזון: מרק רוסי עם תפוא, גריסים, גזר, מלפפון חמוץ ובצל"
"סלרי, כרפס, שורש, מבושל, עם מלח CELERIAC","Celeriac, (celery root), cooked",44,"Food item: Celeriac, (celery root), cooked","מזון: סלרי, כרפס, שורש, מבושל, עם מלח CELERIAC"
"זנגוויל , שורש ללא קליפה","Ginger root, peeled",80,"Food item: Ginger root, peeled","מזון: זנגוויל , שורש ללא קליפה"
"עלי סלק, מנגולד, טרי","Beet greens, raw",22,"Food item: Beet greens, raw","מזון: עלי סלק, מנגולד, טרי"
"עלי גפן כבושים במי מלח, עלים בלבד","Vine, leaves, pickled in brine",82,"Food item: Vine, leaves, pickled in brine","מזון: עלי גפן כבושים במי מלח, עלים בלבד"
"עלי גפן, טריים","Vine leaves, raw",93,"Food item: Vine leaves, raw","מזון: עלי גפן, טריים"
"עלי סלק, עם חלקים שאינם ראויים לאכילה","Beet greens, raw, with inedible portions",17,"Food item: Beet greens, raw, with inedible portions","מזון: עלי סלק, עם חלקים שאינם ראויים לאכילה"
"עלי סלק, מבושל עם מלח, ללא תוספת שומן ","Beet greens, cooked, fat not added ",27,"Food item: Beet greens, cooked, fat not added","מזון: עלי סלק, מבושל עם מלח, ללא תוספת שומן"
עלי גפן ממולאים אורז ובשר בקר ושמן סויה,"Vine leaves, stuffed with rice and beef in own sauce, with soy oil",142,"Food item: Vine leaves, stuffed with rice and beef in own sauce, with soy oil",מזון: עלי גפן ממולאים אורז ובשר בקר ושמן סויה
עלי גפן ממולאים אורז ובשר עגל עם שמן זית,"Vine leaves, stuffed with rice and veal in own sauce, with olive oil",137,"Food item: Vine leaves, stuffed with rice and veal in own sauce, with olive oil",מזון: עלי גפן ממולאים אורז ובשר עגל עם שמן זית
עלי גפן ממולאים אורז ובשר כבש ברוטב עגבניות ושמן זית,"Vine leaves, stuffed with rice, and lamb in tomato sauce, with olive oil",118,"Food item: Vine leaves, stuffed with rice, and lamb in tomato sauce, with olive oil",מזון: עלי גפן ממולאים אורז ובשר כבש ברוטב עגבניות ושמן זית
עלי גפן ממולאים אורז ברוטב עגבניות ושמן סויה,"Vine leaves, stuffed with rice in tomato sauce, with soy oil",117,"Food item: Vine leaves, stuffed with rice in tomato sauce, with soy oil",מזון: עלי גפן ממולאים אורז ברוטב עגבניות ושמן סויה
"רשאד, CRESS","Cress, raw",32,"Food item: Cress, raw","מזון: רשאד, CRESS"
"עכוב, טרי","Dandelion greens, raw",45,"Food item: Dandelion greens, raw","מזון: עכוב, טרי"
עכוב מבושל ללא תוספת שומן,"Dandelion greens, cooked, fat not added ",33,"Food item: Dandelion greens, cooked, fat not added",מזון: עכוב מבושל ללא תוספת שומן
עכוב מבושל עם בצל מטוגן בשמן זית,"Dandelion greens, cooked with olive oil-fried onion",49,"Food item: Dandelion greens, cooked with olive oil-fried onion",מזון: עכוב מבושל עם בצל מטוגן בשמן זית
עכוב מבושל עם בצל מטוגן בשמן סויה,"Dandelion greens, cooked with soy oil-fried onion",49,"Food item: Dandelion greens, cooked with soy oil-fried onion",מזון: עכוב מבושל עם בצל מטוגן בשמן סויה
"חסה ערבית, חסה מסולסלת ESCAROLE Romaine","Escarole, romaine lettuce, raw",19,"Food item: Escarole, romaine lettuce, raw","מזון: חסה ערבית, חסה מסולסלת ESCAROLE Romaine"
סלט קיסר,"Salad, Caesar",117,"Food item: Salad, Caesar",מזון: סלט קיסר
"תרד, טרי","Spinach, raw",23,"Food item: Spinach, raw","מזון: תרד, טרי"
"תרד מבושל, מילוי לכיסוני בצק, עם שמן סויה","Spinach, cooked, filling for pastry, with soy oil",99,"Food item: Spinach, cooked, filling for pastry, with soy oil","מזון: תרד מבושל, מילוי לכיסוני בצק, עם שמן סויה"
קציצות תרד מטוגנות בשמן סויה,"Spinach, patties, fried in soy oil",215,"Food item: Spinach, patties, fried in soy oil",מזון: קציצות תרד מטוגנות בשמן סויה
"תרד, טרי, מבושל, ללא תוספת שומן, עם מלח","Spinach, cooked, from fresh, fat not added ",23,"Food item: Spinach, cooked, from fresh, fat not added","מזון: תרד, טרי, מבושל, ללא תוספת שומן, עם מלח"
"תרד, קפוא, מבושל,  ללא תוספת שומן, עם מלח","Spinach, cooked, from frozen, fat not added ",34,"Food item: Spinach, cooked, from frozen, fat not added","מזון: תרד, קפוא, מבושל,  ללא תוספת שומן, עם מלח"
"תרד, משומר, מבושל,  ללא תוספת שומן ","Spinach, cooked, from canned, fat not added ",23,"Food item: Spinach, cooked, from canned, fat not added","מזון: תרד, משומר, מבושל,  ללא תוספת שומן"
"שניצל תרד, טבעול","Shnitzel, corn, Tivall",170,"Food item: Shnitzel, corn, Tivall","מזון: שניצל תרד, טבעול"
פאי מנגולד עם גבינה מלוחה וצהובה,"Pie, mangold with salty cheese and yellow cheese",292,"Food item: Pie, mangold with salty cheese and yellow cheese",מזון: פאי מנגולד עם גבינה מלוחה וצהובה
"גרגיר הנחלים, טרי","Watercress, raw",11,"Food item: Watercress, raw","מזון: גרגיר הנחלים, טרי"
"ירק בר,עלי גת, חזרת, צנון, עלים מבושלים ללא תוספת שומן בבישול ","Bitter melon leaves, horseradish leaves, jute leaves, or radish leaves, cooked, fat not added ",41,"Food item: Bitter melon leaves, horseradish leaves, jute leaves, or radish leaves, cooked, fat not added","מזון: ירק בר,עלי גת, חזרת, צנון, עלים מבושלים ללא תוספת שומן בבישול"
מלוחיה מבושלת בשמן זית,"Jew's mallow (jute, potherb), malouchia , cooked in olive oil",77,"Food item: Jew's mallow (jute, potherb), malouchia , cooked in olive oil",מזון: מלוחיה מבושלת בשמן זית
"עולש עילט, טרי CHICORY","Endive, raw, Chicory",17,"Food item: Endive, raw, Chicory","מזון: עולש עילט, טרי CHICORY"
עולש מבושל עם שמן זית,"Chicory, cooked with olive oil",49,"Food item: Chicory, cooked with olive oil",מזון: עולש מבושל עם שמן זית
מלוחיה מבושלת ללא שומן,"Jew's mallow (jute, potherb), malouchia, cooked, fat not added",47,"Food item: Jew's mallow (jute, potherb), malouchia, cooked, fat not added",מזון: מלוחיה מבושלת ללא שומן
חוביזה-חלמית מבושלת עם שמן זית,"Mallow, hubeiza, cooked with olive oil",62,"Food item: Mallow, hubeiza, cooked with olive oil",מזון: חוביזה-חלמית מבושלת עם שמן זית
"חוביזה-חלמית, טריה","Mallow, hubeiza, raw",47,"Food item: Mallow, hubeiza, raw","מזון: חוביזה-חלמית, טריה"
"חמציץ-חומעה, טרי","Dock, raw",22,"Food item: Dock, raw","מזון: חמציץ-חומעה, טרי"
"חמציץ-חומעה, מבושל ללא מלח","Dock, cooked, no added salt",20,"Food item: Dock, cooked, no added salt","מזון: חמציץ-חומעה, מבושל ללא מלח"
"ברוקולי, טרי","Broccoli, raw",34,"Food item: Broccoli, raw","מזון: ברוקולי, טרי"
"ברוקולי, טרי, עם גבעול","Broccoli, raw, with stalks",21,"Food item: Broccoli, raw, with stalks","מזון: ברוקולי, טרי, עם גבעול"
"ברוקולי, מבושל, עם מלח, לפנ לסוג, ללא תוספת שומן בבישול","Broccoli, cooked, NS as to form, fat not added ",35,"Food item: Broccoli, cooked, NS as to form, fat not added","מזון: ברוקולי, מבושל, עם מלח, לפנ לסוג, ללא תוספת שומן בבישול"
"ברוקולי, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח","Broccoli, cooked, from frozen, fat not added ",28,"Food item: Broccoli, cooked, from frozen, fat not added","מזון: ברוקולי, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח"
ברוקולי מבושל עם שמן סויה,"Broccoli, cooked with soy oil",43,"Food item: Broccoli, cooked with soy oil",מזון: ברוקולי מבושל עם שמן סויה
ברוקולי מבושל עם מרגרינה,"Broccoli, cooked with margarine",53,"Food item: Broccoli, cooked with margarine",מזון: ברוקולי מבושל עם מרגרינה
"ברוקולי מטוגן, עם ציפוי, בשמן סויה","Broccoli, coated, fried in soy oil",161,"Food item: Broccoli, coated, fried in soy oil","מזון: ברוקולי מטוגן, עם ציפוי, בשמן סויה"
"פשטידת ברוקולי וגבינות, ללא בצק","Pie, broccoli and cheeses, no pastry",128,"Food item: Pie, broccoli and cheeses, no pastry","מזון: פשטידת ברוקולי וגבינות, ללא בצק"
"מרק ברוקולי עם נגיעות כרובית, נמס בכוס, מוכן מאבקה, קנור","Soup, broccoli and cauliflower, prepared from mix,(instant, in cup) Knorr ",49,"Food item: Soup, broccoli and cauliflower, prepared from mix,(instant, in cup) Knorr","מזון: מרק ברוקולי עם נגיעות כרובית, נמס בכוס, מוכן מאבקה, קנור"
"גזר, טרי, בלי קליפה וקצוות","Carrots, raw",41,"Food item: Carrots, raw","מזון: גזר, טרי, בלי קליפה וקצוות"
"גזר, עם קליפה וקצוות","Carrots, with skin and top",36,"Food item: Carrots, with skin and top","מזון: גזר, עם קליפה וקצוות"
סלט גזר חי מתוק,"Salad, carrot (fresh), sweet",66,"Food item: Salad, carrot (fresh), sweet",מזון: סלט גזר חי מתוק
